제목,링크,본문,날짜,감성 분석 결과
1월에도 주요 업종 카드소비 줄어…교육비까지 4년만에 감소,https://n.news.naver.com/mnews/article/001/0015257058,"학원비(CG)[연합뉴스TV 제공](서울=연합뉴스) 채새롬 기자 = 올해 1월에도 소비심리가 얼어붙으면서 주요 업종의 카드 매출이 감소했다. 가계 소비의 '보루'로 불리는 교육비 매출까지 4년 만에 감소한 것으로 나타났다.11일 여신금융협회의 '2025년 1월 카드 승인실적'을 보면 올해 1월 소비 관련 대부분의 업종에서 전년 동월 대비 매출이 감소했다.지난해 12월 비상계엄 사태로 타격을 받았던 숙박·음식점업은 올해 1월에도 카드 매출이 12조700억원으로 작년 동월 대비 2천200억원가량(1.8%) 줄었다.이 밖에도 전년 동월 대비 가장 매출 감소율이 큰 업종은 운수업으로 작년 1월 1조7천800억원에서 올해 1조6천500억원으로 7.6% 줄었다.보건업 및 사회복지 서비스업(6조700억원→6조100억원·1.1% 감소), 예술·스포츠·여가 관련 서비스업(1조원→9천800억원·1.7% 감소) 등의 매출도 줄줄이 감소했다.특히 눈에 띄는 것은 교육서비스업의 카드 매출이 1조7천400억원으로 전년 동월 대비 5.5% 줄어든 것이다. 교육서비스업 매출에는 유치원, 정규교육 기관, 사설학원, 기술 및 직업훈련학원 등이 들어간다.교육서비스업의 카드 매출이 전년 동월 대비 줄어든 것은 코로나19가 한창이던 2021년 1월(12.5% 감소) 이후 4년 만에 처음이다.카드업계 관계자는 ""통상 교육비는 가계 소비 '최후의 보루'로 여겨진다""며 ""소비심리 위축이 얼마나 심각한지를 보여주는 통계""라고 말했다.앞서 지난해 12월에는 주요 소비업종 중 숙박 및 음식점업(-0.7%), 예술·스포츠·여가 관련 서비스업(-2.7%)만 전년 동월 대비 카드 매출이 감소했다.한편 전자금융업, 세금 및 공과금 등이 포함된 1월 전체 카드 승인실적은 102조6천억원으로 작년 동월보다 3.2% 늘었다.1월 한국표준산업분류별 카드승인실적[여신금융협회 제공]srchae@yna.co.kr",2025.03.11.,중립
"현대제철 당진제철소, 직장폐쇄 보름만에 해제",https://n.news.naver.com/mnews/article/009/0005457082,"현대제철이 12일부로 당진제철소 1·2 냉연라인에 대한 직장폐쇄를 해제한다고 11일 밝혔다. 지난달 24일 직장폐쇄를 단행한 지 보름 만이다.현대제철 관계자는 ""12일 오전 7시 당진제철소 1·2 냉연 PL/TCM 부분의 직장폐쇄를 해제하기로 했다""면서 ""노조는 13일 오전 7시부로 부분파업을 철회할 예정""이라고 말했다.이 관계자는 ""노조의 부분파업 철회 이후 노사는 교섭을 재개해 임단협을 진행할 계획""이라고 덧붙였다.현대제철 노사는 지난해 9월부터 6개월 가까이 임금협상을 진행하던 중 성과급 액수를 두고 의견을 좁히지 못했고 갈등이 깊어졌다. 결국 노조는 올해 1월 21일 당진제철소 냉연공장에서 하루 동안 부분파업을 진행했고 2월 11일 전국 사업장에서 24시간 총파업을 했다.이에 맞서 사측은 당진제철소 냉연라인 일부에 대해 직장폐쇄를 단행했다. 현대제철은 2월 1~22일 노사분규로 냉연 부문에서 27만t가량의 생산 손실이 발생해 손실액이 254억원에 이를 것으로 추산된다고 밝힌 바 있다.[안두원 기자]",2025.03.11.,중립
"국세청, ‘홈플러스 사태’ MBK파트너스 세무조사",https://n.news.naver.com/mnews/article/021/0002695673,"홈플러스 강서 본사 전경. 홈플러스 제공MBK ""5년마다 이뤄지는 정기적 세무조사, 특별한 것 아냐""정무위는 홈플러스 임원 증익 채택 결의안 만장일치 통과""식음료 중심 일부 업종에 차등 지급 구두로 통보""입점 점주들 ""1월 매출 차등 지급 말라…분열책 의심""국세청이 국내 대형마트 업계 2위 홈플러스의 대주주인 사모펀드 MBK파트너스를 상대로 세무조사를 벌이고 있다.MBK파트너스가 홈플러스 기업회생에 나서며 모럴해저드 논란에 휩싸인 가운데 여야는 한목소리로 홈플러스의 최대 주주인 김병주 MBK 회장이 사태에 책임져야 한다고 강조한다.11일 관련 업계에 따르면 서울지방국세청 조사4국은 이날부터 MBK파트너스에 직원을 파견해 세무조사를 진행하고 있다.MBK파트너스 측은 이번 세무조사가 통상 4∼5년 단위로 이뤄지는 정기조사라는 입장이다.MBK파트너스 관계자는 ""2015년과 2020년에도 세무조사를 받았으며 5년마다 정기적으로 받고 있다""고 말했다.하지만 최근의 홈플러스 자금 이슈를 고려하면 서울청 조사4국이 폭넓게 특별(비정기) 세무조사 수준으로 들여다볼 것이라는 관측이 나온다.MBK파트너스는 2015년 막대한 차입금으로 홈플러스를 인수한 뒤 10년간 점포 매각 등으로 빚을 갚고 배당을 받는 등 투자 원금 회수에 주력했다. 홈플러스가 회생 절차를 신청하기 직전까지 투자자를 상대로 기업어음(CP) 등을 팔기도 했다.11일 국회 정무위원회 전체회의에서 ‘홈플러스·MBK 파트너스 사태에 대한 긴급 현안질의 관련 증인등 출석요구의 건’이 통과되고 있다. 연합뉴스또한 11일 국회 정무위원회는 여의도 국회 본관에서 ‘홈플러스·MBK 파트너스 사태에 대한 긴급 현안질의 관련 증인등 출석요구의 건’ 임시회의를 개최했다.정무위는 이날 회의에서 오는 18일 열리는 긴급 현안질의에 △김병주 MBK파트너스 회장 △김광일 MBK 파트너스 부회장 겸 홈플러스 공동대표 △조주연 홈플러스 공동대표 △금정호 신영증권 사장 △강경모 홈플러스 입점협회 부회장 등 5명에 대한 출석 요구 결의를 이의 없이 가결시켰다.민병덕 더불어민주당 의원은 ""현안질의 증인에 홈플러스 노조위원장 등 이해관계자가 추가된다면 피해자들이 불안한 사항에 대해 이야기할 수 있을 것""이라고 의견을 보탰다.이정문 민주당 의원은 11일 국회에서 열린 원내대책회의에서 ""오늘 개회되는 정무위원회의 증인 출석 요구에 응하고, 국민 앞에 나와 답할 것을 촉구한다""며 ""책임 있는 경영을 주장한 MBK가 이번 사태에서 어떤 역할을 했는지 철저히 따질 것""이라고 밝혔다.이 의원은 ""홈플러스 사태는 단순한 경영 실패가 아니라 사모펀드의 먹튀 자본 폐해""라며 ""MBK파트너스가 기업의 지속 가능성을 고려하지 않고 단기 이익 회수에만 집중한 결과, 홈플러스가 유통업체로서의 경쟁력을 상실했다""고 비판했다.또 이 의원은 ""정부와 금융당국이 홈플러스 사태를 방관한 것이 아닌지 철저히 검증할 것""이라며 ""MBK가 한국 사회에서 기업을 단순한 수익 창출 도구로 악용한 과정과 그로 인해 발생한 피해를 사회적 책임으로 돌릴 것을 요구할 것""이라고 말했다. 그러면서 ""민주당은 한국경제가 사모펀드의 먹잇감이 되는 것을 방관할 수 없다""며 제도적 대책을 마련하겠다고 했다.김용태 국민의힘 비상대책위원은 이날 자신의 사회관계망서비스(SNS)에 ""홈플러스가 기업회생 절차에 들어가면서 6,7%의 높은 금리로 투자자를 끌어들인 홈플러스의 무담보 CP와 전단채는 사실상 휴지조각이 될 가능성이 커졌다""며 ""문제는 현재 정확한 피해금액조차 파악되지 않고 있다는 점""이라고 이야기했다.김 위원은 ""금감원을 비롯한 금융당국과 사법당국에 홈플러스와 MBK파트너스의 사기성 채권발행 의혹에 대해 신속하고 철저한 조사와 수사에 나서줄 것을 촉구한다""며 ""국회 역시 다음주 화요일로 예정된 ‘홈플러스와 MBK파트너스 사태’ 현안질의 등을 통해 진상규명을 시작한다""고 밝혔다. 또한 ""MBK파트너스가 고려아연 경영권 장악을 시도하고 있는데, 부도덕한 투자자본에 국가기간산업이 넘어가지 않도록 면밀히 살피겠다""고 다짐했다.하태경 보험연수원장(전 국민의힘 국회의원)도 이날 자신의 SNS에 ""홈플러스의 실적 부진과 점포 매각으로 재무상태가 악화된 것을 MBK는 너무나 잘 알고 있었다""며 ""2월28일 치명적 신용등급 급락 직전인 25일에도 어음 발행이 지속됐다""고 밝혔다. 이어 ""MBK의 행위가 사기라면 동양그룹 대표처럼 엄중한 처벌이 필요하다""며 ""검찰은 금융사기 즉각 수사에 나서 진상을 규명하고 피해 확산을 막아야 한다""고 강조했다.김병주 MBK파트너스 회장. 뉴시스홈플러스가 기업회생절차에 들어가면서 점포 내 입점 업체들이 지난 1월분의 매출을 정산받지 못한 것으로 나타났다.홈플러스 매장을 빌려 영업하는 입점 점주들은 11일 ""1월분 매출금을 차등 지급하지 말라""며 ""이는 점주들의 대항과 대응을 약화하는 분열책으로 의심된다""고 주장했다.홈플러스 입점 점주들이 참여하는 대규모점포입점점주협의회와 한국중소상인자영업자총연합회는 이날 입장문을 통해 ""홈플러스 본사가 1월 매출금 정산 지급을 전체 업종이 아닌 식음료 중심 일부 업종에 제한해 구두 통보했다""고 전했다.이어 ""1월분 정산금 지급을 일부 업체에만 하지 말고, 공식 입장을 통해 차등 없는 정산 계획을 알려달라""고 촉구했다.이들 단체는 아울러 ""대규모유통업법 개정을 통해 정산 주기를 1주일로 단축하고, 작년 티메프 사태처럼 정산대금의 유용이나 기업회생절차에 대비해 정산금을 보호할 수 있는 장치를 마련해야 한다""고 요구했다.서울회생법원은 이날 홈플러스 매장 내 점포 임차인들에 대한 올해 1월분, 2월분 미지급 정산대금 총 1천127억원을 변제하라고 승인했다.법원은 지난 7일 홈플러스의 협력사에 대한 작년 12월∼올해 2월 물품·용역대금 3천457억원 지급도 승인했다.홈플러스는 ""현재까지 밀린 상거래채권 1천억원 이상을 지급했으나 모든 대금을 한 번에 지급할 수는 없다""며 ""각 업체와 개별적인 협의를 통해 순차 지급 중""이라고 밝혔다.홈플러스는 삼성, LG 등 대기업에는 조기 변제 계획서를 제공했으나 소상공인 입점업체엔 구체적인 계획을 통보하지 않은 것으로 전해졌다.홈플러스 입점사는 약 8000곳에 이르는데 이들 중 상당수가 일정 금액을 월임차료로 내는 방식보다 홈플러스의 POS(판매시점관리) 단말기를 사용한 후 한 달 뒤 임차료를 제외하고 매출을 정산받는 방식을 이용하고 있다.홈플러스는 지난 6일부터 자체적으로 지급이 가능한 ‘공익채권’부터 순차적으로 지급 중에 있고 ‘회생채권’은 앞으로 지급이 진행될 예정이라고 밝혔다.",2025.03.11.,부정
美경기침체 우려에 원·달러 환율 1460원 육박,https://n.news.naver.com/mnews/article/448/0000513095,"미국 경기침체 우려에 따른 안전자산 선호 심리에 따라 달러 대비 원화 환율이 상승했다.11일 서울 외환시장에서 오후 3시 30분 기준 원달러 환율은 어제보다 5.9원 오른 1,458.2원으로 마감했다.환율은 6.8원 오른 1459.1원으로 출발한 뒤 한 때 1460원을 넘었다.도널드 트럼프 미국 대통령은 전날 인터뷰에서 올해 경기침체를 예상하느냐는 질문에 ""과도기(transition)가 있다""며 ""우리가 하는 일이 매우 큰 일이기 때문""이라고 답했다.미국 경기침체 우려가 촉발된 발언으로, 위험자산 회피·안전자산 선호 심리가 강화되면서 원화 약세 요인으로 작용한 것으로 풀이된다.주요 6개국 통화 대비 달러 가치를 나타내는 달러인덱스는 전날보다 0.03% 내린 103.751을 나타냈다.같은 시각 원엔 재정환율은 100엔당 989.85원에 거래됐다. 전날 오후 3시 30분 기준가보다 5.81원 올랐다.오후 3시 30분 기준가로 봤을 때 2023년 5월 12일(990.39원) 이후 최고치다.이는 안전자산인 엔화 강세와 원화 약세가 맞물린 결과로 풀이된다.엔달러 환율은 전날보다 0.18% 내린 147.319엔을 나타냈다.",2025.03.11.,긍정
국민주 삼성전자 '소액주주 500만' 회복...1년새 49만명↑,https://n.news.naver.com/mnews/article/374/0000429175,[20일 오전 경기도 수원시 영통구 수원컨벤션센터에서 제55기 삼성전자 정기주주총회가 개최되고 있다. (사진=연합뉴스)]'국민주' 삼성전자 주식을 보유한 소액주주 수가 1년 사이 49만명 가까이 늘면서 '500만 주주'를 회복했습니다.반도체 실적 악화에 주가가 박스권에 머물렀지만 저점 매수를 위한 개인투자자들이 늘어났기 때문으로 분석됩니다.11일 삼성전자가 공시한 사업보고서에 따르면 지난해 12월 말 삼성전자 소액주주는 총 516만210명으로 작년 말 467만2천39명과 비교해 48만8천171명 증가했습니다.이는 6개월 전인 작년 6월 말(424만7천611명)과 비교하면 91만2천599명 늘어난 것입니다.삼성전자 총발행 주식의 68.23%는 소액주주들이 보유하고 있습니다.지난해 중반까지 작년 초 7만9천600원으로 고점을 찍었던 주가가 같은 해 3월 8만원을 돌파한 이후 다시 하락세에 접어들면서 주주 이탈이 가속하는 모습을 보였습니다.하지만 이후 주주 수가 상승추세를 보인 데는 지난해 11월 삼성전자의 3조원 이상 자사주 소각 결정 발표에 따라 주가 상승 기대심리가 작용했기 때문으로 풀이됩니다.이와 함께 현재 5만원대 박스권을 맴도는 주가를 저점에서 매수하려는 개인투자자들이 늘어났다는 점도 영향을 끼친 것으로 보입니다.삼성전자 소액주주는 주식 투자 열풍에 힘입어 2020년 말 215만3천969명에서 2021년 말 506만6천351명으로 1년 만에 2배 이상 급증한 데 이어 2022년 9월 600만명을 돌파한 이후 같은 해 4분기를 기점으로 점차 줄어드는 모습을 보였습니다.당신의 제보가 뉴스로 만들어집니다.SBS Biz는 여러분의 제보를 기다리고 있습니다.홈페이지 = https://url.kr/9pghjn,2025.03.11.,긍정
"LG·삼성, 한층 강화된 AI 앞세워 프리미엄 TV 시장 공략 확대",https://n.news.naver.com/mnews/article/032/0003355983,"백선필 LG전자 TV상품기획담당이 2025 LG 올레드 에보(G5) 제품 성능을 설명하고 있다. LG전자 제공LG전자와 삼성전자가 한층 강화된 인공지능(AI) 기능을 앞세워 프리미엄 TV 시장에서 경쟁한다. 중국 업체의 추격에도 프리미엄 TV 분야에선 두 기업의 영향력이 공고한 만큼 ‘AI TV’로 입지를 더욱 확대하겠다는 구상이다.LG전자는 11일 서울 강서구 LG사이언스파크에서 2025년형 TV 신제품 브리핑을 열고 “차별화된 AI 기능과 향상된 화질로 프리미엄 시장 TV 리더십 강화에 나선다”고 밝혔다. 올해 LG전자는 글로벌 시장 1위인 올레드(OLED·유기발광다이오드) TV뿐만 아니라 액정표시장치(LCD) 패널을 기반으로 한 고급 제품군인 QNED TV를 함께 앞세우는 ‘듀얼 트랙’ 전략을 편다. 신제품은 오는 18일 국내를 시작으로 글로벌 시장에 순차 출시한다.LG전자는 2025년형 TV 신제품에 리모컨 버튼 하나로 손쉽게 이용할 수 있는 AI 기능을 탑재했다. AI 챗봇 기능은 “화면이 어두워진 원인을 찾아줘”와 같이 TV에 발생한 간단한 문제를 문의하면 고객센터에 전화하지 않고도 해결할 수 있게 돕는다. 예시 중 마음에 드는 화면·소리를 고르면 가장 적합한 모드를 제안해주는 기능, 목소리로 사용자를 구분해 계정을 전환해주는 기능도 있다. 이날 행사에선 시연자가 “내가 최근에 본 거 틀어줘”라고 말하니 시연자가 설정해놓은 화면 모드로 바뀌면서 요청에 맞는 콘텐츠가 제시됐다. AI 서치 기능은 “배우 윤여정이 아카데미상을 받은 영화”라고 말하면 “<미나리>입니다”라고 답하는 식으로 작동한다.2025년형 신제품에 신기술을 적용해 화질을 한층 끌어올렸다고 회사는 설명했다. 예를 들어 LG 올레드 에보는 최대 밝기가 일반 올레드 TV 대비 3배에 이르고, 자체 개발한 OLED 전용 화질·음질 AI 프로세서 ‘알파11’을 탑재해 화질과 음질을 강화했다. QNED TV의 경우 초대형·프리미엄 LCD TV 수요를 반영해 100형 제품도 내놨다.백선필 LG전자 TV상품기획담당은 TCL 등 가격 경쟁력을 앞세운 중국 업체의 한국 시장 공세에 대해 “중국 업체가 헤게모니를 잡은 건 패널 쪽”이라며 “하드웨어 측면에서 근육은 충분하지만 시스템온칩(SoC), 운영체제(OS)와 같은 브레인 면에서 격차가 있다고 생각한다”고 말했다.삼성전자 모델이 2025년형 AI TV 신제품 ‘Neo QLED 8K’와 ‘OLED’를 체험하고 있다. 삼성전자 제공삼성전자는 12일부터 신규 AI 기능을 탑재한 프리미엄 LCD 기반의 네오(Neo) QLED와 OLED TV 신제품 사전 판매를 시작한다. 새로운 AI 기능이 탑재된 일반 QLED 신모델도 이르면 다음달 선보이며 ‘AI 스크린 대중화’를 꾀한다.신규 AI 기능은 ‘홈 인사이트’ ‘홈 모니터링’ ‘클릭 투 서치’ 등이다. 홈 인사이트 기능은 사용자의 생활 패턴과 기기 사용 이력, 집안 현재 환경을 고려해 ‘부재 중 기기 전원 끄기’와 같이 필요한 행동을 추천한다. 홈 모니터링의 경우 TV가 꺼진 상태에서 이상 움직임이 감지되면 사용자의 모바일 기기 또는 다른 TV로 알람을 보낸다. 2025년형 TV 리모컨에는 ‘클릭 투 서치’를 바로 실행할 수 있는 AI 버튼이 추가됐다. 버튼을 누르면 시청 중인 콘텐츠와 유사한 프로그램과 등장인물 등 관련 정보를 확인할 수 있다.",2025.03.11.,중립
"금감원, 홈플러스 CP 등 개인 판매액 파악 나서",https://n.news.naver.com/mnews/article/422/0000719956,"[연합뉴스 제공]홈플러스가 기업회생절차에 들어가면서 기업어음(CP)과 전자단기사채(STB)를 매입한 개인 투자자의 손실 우려가 커지자 금융감독원이 현황 파악에 나섰습니다.금감원은 오늘(10일) 각 증권사에 공문을 보내 홈플러스 관련 기업어음과, 전자단기사채, 카드대금채권을 기초로 발행된 유동화증권(ABSTB·자산유동화 전자단기사채) 중 개인 대상 판매 금액을 오는 12일까지 제출하라고 요청했습니다.금융권에 따르면 금융사 부채와 리스 부채 등을 제외한 홈플러스의 이들 금융채권은 카드대금채권을 기초로 발행된 유동화증권 약 4천억원, 기업어음, 전단채 약 2천억원 등으로 모두 약 6천억원 규모입니다.금융권은 홈플러스의 신용등급을 고려했을 때 대부분 물량이 대형 기관투자자가 아닌 일반 개인과 법인을 대상으로 한 소매판매된 것으로 추정하고 있습니다.금감원 관계자는 ""현재 불완전판매 등을 예단할 수 있는 상황은 아니다""라며 ""개인 손해가 예상되는 만큼 현황 파악을 위해 자료를 요청했다""고 말했습니다.#금감원 #홈플러스 #CP #연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",2025.03.10.,중립
"절정 치닫는 고려아연 분쟁, '수 싸움' 더 가열된다",https://n.news.naver.com/mnews/article/648/0000034198,"고려아연, 주중 이사회…정기주총 안건 확정 예정MBK-영풍, 이사회 재편 노릴 듯…최윤범 방어 총력진짜 '표싸움'…공격모드 최윤범 VS 물밑작업 MBK고려아연의 경영권 분쟁의 분수령이 될 정기 주주총회를 앞두고 최윤범 고려아연 회장 측과 MBK-영풍 연합 측의 수 싸움이 더욱 복잡해지고 있다. 법원이 MBK-영풍 연합이 요청했던 1월 임시주주총회 통화 안건 의결권 제한 가처분 신청을 일부 인용하면서 다시 '표싸움'으로 접어들 가능성이 높아지면서다.업계에서는 어느 한쪽이 우세를 잡았다고 보기 어렵다고 보고 있다. 최윤범 고려아연 회장 측이 집중투표제를 사수하기는 했지만 주주총회에서 승기를 잡았다고 보기는 어렵다. MBK-영풍 연합 측은 최윤범 회장보다는 많은 지분을 확보하긴 했지만, 최근 홈플러스의 기업회생절차를 두고 부정적인 여론이 강해진 것이 상당한 부담이다.정기주총 소집 두고 고심하나11일 업계에 따르면 고려아연은 아직까지 제51기 정기주주총회 소집 공고를 내지 못하고 있다. 관련 법상 주주총회는 결산일 이후 3개월 이내에 주주총회를 개최하도록 돼 있다. 2024년에 대한 결산보고라는 점을 고려하면 이달 31일까지가 '데드라인'이다.이는 앞선 행보와는 사뭇 다르다. 고려아연은 지난 2007년 이후 통상 2월 중, 늦어도 3월 첫째주에는 정기주총 소집을 공시했다.이처럼 주총 소집 공고가 늦어지는 이유는 안건 등을 확정하지 못했기 때문이다. 정기 주총 소집은 이사회의 결의 이후 확정해야 하는데, 이사회 자체가 열리지 못하면서 지연되고 있다는 얘기다.고려아연 관계자는 ""정기주총 안건을 논의하는 이사회를 이번주 중 개최하고 계획을 공시할 것""이라며 ""2주 전에 소집 공고를 공시하면 되기 때문에 3월 19일까지는 시간 여유가 있다""고 말했다.업계에서는 주총에 올릴 안건 자체를 두고 최윤범 회장측과 MBK-영풍 연합간의 수싸움이 이어지면서 이사회 역시 늦어지고 있다고 본다. 경영권 확보를 염두에 두다보니 어떠한 안건을 올릴 것이냐부터 고심하고 있다는 얘기다.업계 한 관계자는 ""지난번 임시 주주총회 때와는 다르게 집중투표제를 통해 안건 가부를 결정하기 때문에 확실하게 이길 수 있는 카드를 내야하는 상황이다""고 말했다.이어 ""현재 고려아연의 외국인 주주비율은 12%가량인데 어느 한 쪽 편만 들지 않고 사안별로 투자에 유리한 방안을 고려할 것""이라며 ""외국인 투자자 의견에 따라 상황이 갈릴 수 있기 때문에 단순하게 한쪽에게만 유리한 안건을 상정하기는 어려울 것""이라고 덧붙였다.어떤 카드 내놓을까업계에서는 이번 정기 주주총회에서의 핵심은 고려아연의 이사회가 어떻게 구성되느냐로 본다. 지난 임시주주총회 통화 안건 중 새롭게 선임된 7명의 사외이사 안건 효력이 정지됐기 때문에 다시금 이사회를 꾸릴 사외이사를 추천해야 하는 상황이어서다.일단 MBK-영풍 연합 측은 또 한 번 고려아연의 이사회 수 상한을 없애는 안건을 도입하면서 대규모로 사외이사를 추천해 경영권 확보에 나설 것으로 보인다.다른 업계 관계자는 ""MBK-영풍 측에서 지난 임시주주총회에서는 10명의 사외이사를 추천했는데, 이번 정기주주총회에서는 이보다 많은 인사들을 추천해서 이사회 장악에 나설 것으로 알려진 상황""이라고 말했다.이사회 과반 확보에 나선 이후 추가 임시 주주총회 등을 연이어 개최해 이사회를 완전히 장악하는 시나리오란 얘기다. 최윤범 회장 측 역시 이사회 수성을 위한 명단을 다시금 고민할 것이라고 덧붙였다.그는 ""확실한 카드를 준비해야 하는 상황이어서 고심이 이어지고 있을 것""이라며 ""일부 기관투자자들의 경우 인사 성격에 따라 찬성과 반대 여부를 결정하기 때문에 단순히 우호적일 것이라는 판단으로 후보를 골랐다간 경영권 분쟁에서 패배할 수 있는 상황""이라고 덧붙였다.이제는 '진짜' 표대결앞선 임시주주총회에서는 최윤범 회장 측이 MBK-영풍 측이 보유한 의결권을 상호출자제한이라는 카드로 제한했던 것과 달리 이번 정기주주총회에서는 '찐' 표대결이 진행될 것으로 관측된다.전날(10일) 최윤범 회장 측은 고려아연의 지분 0.54%를 추가로 보유하게 됐다고 공시했다. 이에 따라 최윤범 회장 측의 지분 비율은 종전 17.50%에서 18.04%로 증가했고, 총 우호지분 역시 39.70%로 늘었을 것으로 관측된다. 정기 주주총회를 위한 주주명부가 확정되지 않았기 때문에 막판까지 표를 확보하기 위한 작업을 진행한 것으로 분석된다.MBK와 영풍측은 현재 46.72%의 지분을 확보한 것으로 전해지면서 전체적인 우호지분은 최윤범 회장 측보다 앞서지만 확실하게 승기를 잡을 수 있는 수준은 아니라는 평가다. 특히 이번 주주총회의 핵심은 신규 이사 선임이 될 것으로 전망되는데, 지난 임시주주총회에서 집중투표제가 도입되면서 단순 지분율이 높다고 유리한 고지를 확보했다고 보기는 어렵다.집중투표제란 2명 이상의 이사를 선임할 때 선임 이사 수만큼 의결권을 부여하고 이를 원하는 후보에게만 몰아줄 수 있도록 하는 투표방식을 말한다. 지분이 아무리 높다고 해도 주주총회를 주도하기 어려울 수 있어 이번 정기 주총의 결정적인 변수가 될 가능성이 크다.따라서 '캐스팅 보트'가 될 수 있는 나머지 주주들이 어느 손을 들어주느냐가 이번 정기주총에서는 그 어느 때보다 중요하게 됐다. 이전보다 더 치열한 '표싸움'이 될 수 있다는 의미다. 따라서 정기 주총 이전에 양 측이 주주 설득을 위한 총력전에 나설 것으로 업계는  관측이다.금융투자업계 한 관계자는 ""최윤범 회장 측이 회사 임직원, 지역사회 등을 중심으로 표심 모으기에 열중해왔고 최근에는 직접 메시지를 내며 더욱 적극적으로 움직이고 있다""며 ""반면 MBK-영풍 측은 최근 홈플러스의 기업회생으로 인해 MBK의 투자전략에 대한 부정적인 여론이 강해지고 있어 섣부르게 나서긴 어려운 상황""이라고 말했다.이어 ""MBK-영풍 측은 일단 지분 자체가 최 회장 측보다 많기 때문에 물밑작업에 더욱 열중인 것으로 안다""고 덧붙였다.",2025.03.11.,중립
"가상화폐 비트코인, 11일만에 다시 8만 달러선 무너져",https://n.news.naver.com/mnews/article/422/0000720187,"가상화폐 대장주 비트코인 가격이 8만 달러선 아래로 떨어졌습니다.미 가상화폐 거래소 코인베이스에 따르면 오늘(11일) 오전 5시 23분, 비트코인 1개당 가격은 7만8천682달러, 약 1억1천480만원에 거래됐습니다.24시간 전보다 5.22% 떨어진 것으로, 비트코인이 8만 달러선 아래로 내려간 것은 지난달 27일 이후 11일 만입니다.지난 6일 트럼프 대통령이 가상화폐를 전략적으로 비축하는 행정명령에 서명했지만, 미 정부가 세금으로 가상화폐를 구매하지 않을 것이라고 발표하며 직접 매입을 기대했던 시장에 실망감을 안겼습니다.또 관세 전쟁으로 촉발된 경기 침체 우려 확산도 영향을 미친 것으로 분석됩니다.#비트코인 #가상화폐 #관세 #트럼프연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",2025.03.11.,중립
"동서식품, 홈플러스 납품 재개…식품사 속속 복귀",https://n.news.naver.com/mnews/article/018/0005959537,"대금지급 관련 협의 마무리, 12일부터 납품삼양·오뚜기·롯데웰푸드 등 잇따라 납품재개홈플 측 “상거래 채권 지급 완료해 불안 해소할 것”[이데일리 김정유 기자] 동서(026960)식품이 홈플러스에 납품을 재개한다. 기업회생 절차 속 홈플러스 납품 중단 문제가 하나둘 해소되는 모양새다.서울 한 홈플러스 매장의 모습. (사진=연합뉴스)10일 동서식품에 따르면 이 회사는 최근 홈플러스와 협의를 진행을 끝내고 11일 주문분부터 거래를 재개할 예정이다. 동서식품은 지난 4일 홈플러스가 기업회생 절차에 들어간 이틀후인 6일부터 납품을 중단했다.회사 관계자는 “그간 우려가 있던 대금지급에 대한 불확실성을 홈플러스 측과 협의를 통해 해소했다”며 “11일 주문분, 즉 12일부터 납품을 재개할 방침”이라고 말했다.동서식품에 앞서 롯데웰푸드(280360)도 지난 6일부터 홈플러스 납품을 중단했지만 협의 끝에 8일부터 재개했다. 오뚜기(007310) 역시 지난 7일부터 납품을 재개했다. 회사 관계자는 “홈플러스와 대금지급 관련 협의를 마쳤고, 소비자 혼란 등을 최소화하기 위해 결정한 것”이라고 밝혔다.삼양식품(003230)도 이날부터 홈플러스에 제품을 다시 공급했다. 역시 대금지급 관련 홈플러스 측과의 협의가 끝난 직후 진행됐다.홈플러스 기업회생 절차 이후 릴레이 납품 중단을 이어왔던 식품업체들이 하나둘 공급을 재개하는 모습이다.앞서 대형 식품사인 CJ제일제당(097950)과 농심(004370)은 사태가 불거졌을 초기부터 납품을 유지하고 있다.이처럼 주요 식품사들이 홈플러스 납품을 재개하거나 유지하면서 협력사 이탈로 고비를 맞았던 홈플러스도 한숨을 돌리게 됐다.홈플러스 측도 이날 보도자료를 내고 “회생절차가 개시되면서 일시 지급 중지됐던 일반 상거래 채권에 대해 지난 6일부터 자체 지급 가능한 ‘공익채권’부터 순차적으로 지급 중에 있다”며 “‘회생채권 변제 허가 신청’도 지난 7일 법원 승인을 받음에 따라 모든 상거래 채권을 지급 완료해 협력사 불안, 불편을 최소화하겠다”고 밝혔다.회생절차가 개시된 지난 4일 이전 20일 내에 발생한 채권은 공익채권으로 분류된다. 홈플러스는 향후 소상공인·영세업자·인건비성 회생채권을 우선적으로 지급하고 대기업 채권도 분할 상환할 예정이다. 또 대금 정산 지연으로 인해 협력사가 긴급자금 대출을 받을 경우 이자도 지급할 방침이다.",2025.03.10.,중립
